has_variant,product_url,name,sku,mpn,availability,price,description,image_array,brand,image,barcode,barcode_type,color,size,isPriceExcVAT,available_option
False,https://www.fatbraintoys.com/toy_companies/lego_systems_inc/lego_dreamzzz_zoey_and_zian_the_cat_owl.cfm?ah=LS2393-1,LEGO DREAMZzz - Zoey and Zian the Cat-Owl,LS2393-1,71476,True,49.99,Build Zian the Cat-Owl and jump into nightmare-stopping action!,['https://www.fatbraintoys.com/images/products/large/ls2393.jpg'],"LEGO® Systems, Inc.",https://www.fatbraintoys.com/images/products/large/ls2393.jpg,673419389365,UPC,,,False,LEGO DREAMZzz - Zoey and Zian the Cat-Owl
False,https://www.fatbraintoys.com/toy_companies/orb_/plushcraft_happypup_pillow.cfm?ah=OF288-1,PlushCraft HappyPup Pillow,OF288-1,1517800600,True,18.95,"Inspire a smile with the power of simple, punch-fabric crafting!",['https://www.fatbraintoys.com/images/products/large/of288.jpg'],Orb ,https://www.fatbraintoys.com/images/products/large/of288.jpg,622222151782,UPC,,,False,PlushCraft HappyPup Pillow
False,https://www.fatbraintoys.com/toy_companies/fat_brain_toy_co/hey_clay_winter_holidays_set.cfm?ah=FA466-1,Hey Clay Winter Holidays Set,FA466-1,FA466-1,True,19.95,Get in the holiday spirit with the joy of clay art!,"['https://www.fatbraintoys.com/images/products/large/fa466.jpg', 'https://www.fatbraintoys.com/images/products/detail/fa466/fa466_0.jpg']",Fat Brain Toy Co.,https://www.fatbraintoys.com/images/products/large/fa466.jpg,810074274708,UPC,,,False,Hey Clay Winter Holidays Set
False,https://www.fatbraintoys.com/toy_companies/ooly/shrink_its_diy_shrink_art_kit_cute_crew.cfm?ah=INA073-1,Shrink-Its! DIY Shrink Art Kit - Cute Crew,INA073-1,161-108,True,12.95,Shrink it down to dress it up,"['https://www.fatbraintoys.com/images/products/large/ina073.jpg', 'https://www.fatbraintoys.com/images/products/detail/ina073/ina073_0.jpg']",Ooly,https://www.fatbraintoys.com/images/products/large/ina073.jpg,810104681162,UPC,,,False,Shrink-Its! DIY Shrink Art Kit - Cute Crew
False,https://www.fatbraintoys.com/toy_companies/ooly/body_doodlers_face_body_crayons_set_of_12_colors.cfm?ah=INA096-1,Body Doodlers Face & Body Crayons - Set of 12 Colors,INA096-1,133-116,True,13.95,Get dressed up with body crayons,"['https://www.fatbraintoys.com/images/products/large/ina096.jpg', 'https://www.fatbraintoys.com/images/products/detail/ina096/ina096_0.jpg']",Ooly,https://www.fatbraintoys.com/images/products/large/ina096.jpg,810104683135,UPC,,,False,Body Doodlers Face & Body Crayons - Set of 12 Colors
False,https://www.fatbraintoys.com/toy_companies/ooly/paintology_paint_by_number_canvas_kit_blue_birds.cfm?ah=INA094-1,Paintology Paint By Number Canvas Kit - Blue Birds,INA094-1,161-123,True,19.95,Paint by numbers isn’t just for kids!,"['https://www.fatbraintoys.com/images/products/large/ina094.jpg', 'https://www.fatbraintoys.com/images/products/detail/ina094/ina094_0.jpg', 'https://www.fatbraintoys.com/images/products/detail/ina094/ina094_1.jpg']",Ooly,https://www.fatbraintoys.com/images/products/large/ina094.jpg,810104683128,UPC,,,False,Paintology Paint By Number Canvas Kit - Blue Birds
False,https://www.fatbraintoys.com/toy_companies/handstand_kitchen/box_candiy_totally_santa_letters_to_santa_mini_mailbox_set.cfm?ah=HSK034-1,Box CanDIY Totally Santa Letters to Santa Mini Mailbox Set,HSK034-1,BC-XML2SN,True,19.95,Make a cute mailbox ornament and then fill it with letters to Santa!,"['https://www.fatbraintoys.com/images/products/large/hsk034.jpg', 'https://www.fatbraintoys.com/images/products/detail/hsk034/hsk034_0.jpg']",Handstand Kitchen,https://www.fatbraintoys.com/images/products/large/hsk034.jpg,850026946468,UPC,,,False,Box CanDIY Totally Santa Letters to Santa Mini Mailbox Set
False,https://www.fatbraintoys.com/toy_companies/handstand_kitchen/totally_dinosaur_adventures_activity_set.cfm?ah=HSK037-1,Totally Dinosaur Adventures Activity Set,HSK037-1,BC-DNOADV,True,27.95,Explore the prehistoric world through endless crafting adventures with this deluxe dinosaur activity kit!,"['https://www.fatbraintoys.com/images/products/large/hsk037.jpg', 'https://www.fatbraintoys.com/images/products/detail/hsk037/hsk037_0.jpg', 'https://www.fatbraintoys.com/images/products/detail/hsk037/hsk037_1.jpg']",Handstand Kitchen,https://www.fatbraintoys.com/images/products/large/hsk037.jpg,850026946772,UPC,,,False,Totally Dinosaur Adventures Activity Set
False,https://www.fatbraintoys.com/toy_companies/handstand_kitchen/box_candiy_totally_santa_make_your_own_felt_animal_ornaments.cfm?ah=HSK024-1,Box CanDIY Totally Santa Make Your Own Felt Animal Ornaments,HSK024-1,BC-ANIORN,True,19.95,Create your own adorable stuffed felt ornaments!,"['https://www.fatbraintoys.com/images/products/large/hsk024.jpg', 'https://www.fatbraintoys.com/images/products/detail/hsk024/hsk024_0.jpg', 'https://www.fatbraintoys.com/images/products/detail/hsk024/hsk024_1.jpg', 'https://www.fatbraintoys.com/images/products/detail/hsk024/hsk024_2.jpg', 'https://www.fatbraintoys.com/images/products/detail/hsk024/hsk024_3.jpg']",Handstand Kitchen,https://www.fatbraintoys.com/images/products/large/hsk024.jpg,850026946451,UPC,,,False,Box CanDIY Totally Santa Make Your Own Felt Animal Ornaments
False,https://www.fatbraintoys.com/toy_companies/cupcakes_cartwheels/paint_your_own_holiday_ornaments_set_in_gift_box.cfm?ah=CUP142-1,Paint Your Own Holiday Ornaments Set in Gift Box,CUP142-1,44106,True,11.67,Paint memories and get in the holiday spirit!,"['https://www.fatbraintoys.com/images/products/large/cup142.jpg', 'https://www.fatbraintoys.com/images/products/detail/cup142/cup142_0.jpg', 'https://www.fatbraintoys.com/images/products/detail/cup142/cup142_1.jpg']",Cupcakes & Cartwheels,https://www.fatbraintoys.com/images/products/large/cup142.jpg,019218945652,UPC,,,False,Paint Your Own Holiday Ornaments Set in Gift Box
